QKEY,COVIDMISINFO_W63.5,COVIDCREATE_W63.5,F_PARTYSUM_FINAL,F_IDEO,F_AGECAT,F_EDUCCAT,WEIGHT_W63.5
100197.0,Some,Not sure,Dem/Lean Dem,Moderate,65+,Some College,0.3262649169600645
100260.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.6556272442174347
100314.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Moderate,65+,Some College,0.4328651419033417
100363.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.39618280167923603
100446.0,Not much,Not sure,Dem/Lean Dem,Liberal,50-64,College graduate+,0.3923440394774019
100598.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.5750624580553446
100637.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.7443398931841675
100803.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3539956754611129
101437.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.8194332966190397
101472.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,4.647577661519457
101493.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.6104999321139261
102009.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.24445445253421863
103379.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.37830171774990956
103519.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.23078620749798037
103538.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5899957434025324
103611.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.49840964031823126
103677.0,A lot,Came about naturally,Rep/Lean Rep,Very conservative,30-49,Some College,0.7151490499725581
103956.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.6413499780877429
104210.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Very liberal,30-49,H.S. graduate or less,2.430630217287704
104272.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,Some College,0.4203502638784138
104368.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,0.9251341397117077
104417.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.28067968514975083
104491.0,None at all,Not sure,Dem/Lean Dem,Very liberal,65+,Some College,0.862196825205366
104689.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,H.S. graduate or less,0.7354763365566135
104727.0,Some,Doesn’t really exist,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,3.9719239479826847
104937.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3547698801388691
105124.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.25324416642659153
105205.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.5602191584980439
105269.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,65+,College graduate+,0.22748396859865705
105959.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2326032419849029
106068.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.2908882789563022
106180.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,Some College,0.6385677371305429
106297.0,Not much,Not sure,Dem/Lean Dem,Moderate,65+,College graduate+,0.18930857569764087
106444.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.35631151696197294
106590.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,College graduate+,0.30613918633521653
106885.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2590863573469312
107023.0,Refused,Not sure,Dem/Lean Dem,Liberal,50-64,Some College,0.484553323170196
107329.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.8266931182745314
107668.0,Not much,Not sure,Rep/Lean Rep,Moderate,50-64,College graduate+,0.5699897433746057
108035.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,1.2520316948966994
108169.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.32127104808653617
108348.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.8334178876462494
108447.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,1.008594869048371
