QKEY,COVIDMISINFO_W63.5,COVIDCREATE_W63.5,F_PARTYSUM_FINAL,F_IDEO,F_AGECAT,F_EDUCCAT,WEIGHT_W63.5,VOTEGEN_POST_W78,covid_misinfo_belief,trump_vote
100197.0,Some,Not sure,Dem/Lean Dem,Moderate,65+,Some College,0.3262649169600645,"Joe Biden, the Democrat",,0.0
100260.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.6556272442174347,"Donald Trump, the Republican",1.0,1.0
100314.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Moderate,65+,Some College,0.4328651419033417,"Donald Trump, the Republican",,1.0
100363.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.396182801679236,"Joe Biden, the Democrat",0.0,0.0
100446.0,Not much,Not sure,Dem/Lean Dem,Liberal,50-64,College graduate+,0.3923440394774019,"Joe Biden, the Democrat",,0.0
100637.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.7443398931841675,"Donald Trump, the Republican",0.0,1.0
100803.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3539956754611129,,0.0,
101437.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.8194332966190397,"Donald Trump, the Republican",1.0,1.0
101472.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,30-49,College graduate+,4.647577661519457,Another candidate,0.0,
101493.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.6104999321139261,"Donald Trump, the Republican",1.0,1.0
102009.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,Some College,0.2444544525342186,"Joe Biden, the Democrat",0.0,0.0
103379.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.3783017177499095,"Donald Trump, the Republican",,1.0
103519.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2307862074979803,"Joe Biden, the Democrat",,0.0
103538.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5899957434025324,"Joe Biden, the Democrat",,0.0
103611.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.4984096403182312,"Joe Biden, the Democrat",0.0,0.0
103956.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.6413499780877429,"Joe Biden, the Democrat",0.0,0.0
104210.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Very liberal,30-49,H.S. graduate or less,2.430630217287704,"Joe Biden, the Democrat",1.0,0.0
