QKEY,VOTEGEN_POST_W78
100197.0,"Joe Biden, the Democrat"
100260.0,"Donald Trump, the Republican"
100314.0,"Donald Trump, the Republican"
100363.0,"Joe Biden, the Democrat"
100446.0,"Joe Biden, the Democrat"
100588.0,"Joe Biden, the Democrat"
100637.0,"Donald Trump, the Republican"
100803.0,
101224.0,"Donald Trump, the Republican"
101400.0,"Joe Biden, the Democrat"
101437.0,"Donald Trump, the Republican"
101472.0,Another candidate
101485.0,"Donald Trump, the Republican"
101493.0,"Donald Trump, the Republican"
102009.0,"Joe Biden, the Democrat"
102198.0,"Donald Trump, the Republican"
102932.0,"Joe Biden, the Democrat"
103060.0,"Joe Biden, the Democrat"
103094.0,"Joe Biden, the Democrat"
103379.0,"Donald Trump, the Republican"
103519.0,"Joe Biden, the Democrat"
103538.0,"Joe Biden, the Democrat"
103611.0,"Joe Biden, the Democrat"
103956.0,"Joe Biden, the Democrat"
104210.0,"Joe Biden, the Democrat"
104272.0,"Joe Biden, the Democrat"
104368.0,"Donald Trump, the Republican"
104491.0,"Joe Biden, the Democrat"
104689.0,"Joe Biden, the Democrat"
104727.0,"Donald Trump, the Republican"
104937.0,"Joe Biden, the Democrat"
105124.0,"Donald Trump, the Republican"
105269.0,"Joe Biden, the Democrat"
105959.0,"Joe Biden, the Democrat"
106068.0,"Howie Hawkins, the Green Party candidate"
106180.0,"Donald Trump, the Republican"
106444.0,"Joe Biden, the Democrat"
106590.0,"Donald Trump, the Republican"
106885.0,"Donald Trump, the Republican"
106960.0,"Joe Biden, the Democrat"
107023.0,"Joe Biden, the Democrat"
107329.0,"Joe Biden, the Democrat"
107612.0,"Joe Biden, the Democrat"
107668.0,"Donald Trump, the Republican"
108035.0,"Donald Trump, the Republican"
108169.0,"Joe Biden, the Democrat"
108348.0,"Donald Trump, the Republican"
108435.0,"Donald Trump, the Republican"
108592.0,"Joe Biden, the Democrat"
108909.0,
109143.0,"Donald Trump, the Republican"
109188.0,"Joe Biden, the Democrat"
110041.0,"Donald Trump, the Republican"
110129.0,"Donald Trump, the Republican"
110361.0,"Joe Biden, the Democrat"
110550.0,"Donald Trump, the Republican"
111646.0,"Joe Biden, the Democrat"
111665.0,"Joe Biden, the Democrat"
112238.0,"Donald Trump, the Republican"
112371.0,"Donald Trump, the Republican"
112490.0,"Joe Biden, the Democrat"
112495.0,"Joe Biden, the Democrat"
112517.0,"Donald Trump, the Republican"
112613.0,"Donald Trump, the Republican"
112715.0,"Joe Biden, the Democrat"
112984.0,"Joe Biden, the Democrat"
113248.0,"Joe Biden, the Democrat"
113274.0,"Joe Biden, the Democrat"
113412.0,"Donald Trump, the Republican"
113565.0,"Donald Trump, the Republican"
114058.0,"Joe Biden, the Democrat"
114190.0,"Joe Biden, the Democrat"
114197.0,"Donald Trump, the Republican"
114473.0,"Donald Trump, the Republican"
114671.0,"Donald Trump, the Republican"
114797.0,"Joe Biden, the Democrat"
114898.0,"Donald Trump, the Republican"
114940.0,"Joe Biden, the Democrat"
114970.0,"Joe Biden, the Democrat"
115295.0,"Donald Trump, the Republican"
115546.0,"Donald Trump, the Republican"
115568.0,"Joe Biden, the Democrat"
115650.0,Another candidate
115973.0,"Joe Biden, the Democrat"
116151.0,"Donald Trump, the Republican"
116182.0,"Donald Trump, the Republican"
116264.0,
116422.0,"Joe Biden, the Democrat"
116439.0,"Donald Trump, the Republican"
116617.0,"Joe Biden, the Democrat"
116832.0,"Donald Trump, the Republican"
116861.0,"Donald Trump, the Republican"
116998.0,"Joe Biden, the Democrat"
117214.0,"Joe Biden, the Democrat"
117395.0,"Joe Biden, the Democrat"
118060.0,"Donald Trump, the Republican"
118110.0,"Joe Biden, the Democrat"
118218.0,"Joe Biden, the Democrat"
118414.0,"Donald Trump, the Republican"
118423.0,"Joe Biden, the Democrat"
118847.0,"Joe Biden, the Democrat"
118888.0,"Joe Biden, the Democrat"
119121.0,"Joe Biden, the Democrat"
119128.0,"Donald Trump, the Republican"
119392.0,"Donald Trump, the Republican"
119548.0,"Donald Trump, the Republican"
119714.0,"Joe Biden, the Democrat"
119910.0,"Joe Biden, the Democrat"
120118.0,"Donald Trump, the Republican"
120343.0,"Donald Trump, the Republican"
120521.0,"Joe Biden, the Democrat"
120873.0,"Joe Biden, the Democrat"
121158.0,"Donald Trump, the Republican"
121186.0,"Joe Biden, the Democrat"
121582.0,"Donald Trump, the Republican"
121882.0,"Donald Trump, the Republican"
122020.0,"Joe Biden, the Democrat"
122033.0,"Joe Biden, the Democrat"
122234.0,"Joe Biden, the Democrat"
122265.0,"Donald Trump, the Republican"
122466.0,"Donald Trump, the Republican"
122503.0,"Joe Biden, the Democrat"
123191.0,"Joe Biden, the Democrat"
123778.0,"Joe Biden, the Democrat"
124032.0,"Donald Trump, the Republican"
124264.0,"Joe Biden, the Democrat"
124281.0,"Joe Biden, the Democrat"
124561.0,"Joe Biden, the Democrat"
124598.0,"Donald Trump, the Republican"
124895.0,"Joe Biden, the Democrat"
125280.0,"Joe Biden, the Democrat"
125421.0,"Joe Biden, the Democrat"
125444.0,"Joe Biden, the Democrat"
125496.0,"Joe Biden, the Democrat"
125976.0,"Joe Biden, the Democrat"
126131.0,"Joe Biden, the Democrat"
126190.0,"Joe Biden, the Democrat"
126211.0,"Donald Trump, the Republican"
126380.0,"Joe Biden, the Democrat"
126570.0,
127250.0,"Joe Biden, the Democrat"
127284.0,"Joe Biden, the Democrat"
127498.0,
127800.0,"Donald Trump, the Republican"
128214.0,"Donald Trump, the Republican"
128285.0,"Joe Biden, the Democrat"
128558.0,"Donald Trump, the Republican"
129046.0,"Donald Trump, the Republican"
